iteration,state,greedy_action
0,fairway,driver
0,rough,putter
0,near_green,putter
0,green,putter
0,hole,TERMINAL
1,fairway,driver
1,rough,putter
1,near_green,driver
1,green,putter
1,hole,TERMINAL
2,fairway,driver
2,rough,driver
2,near_green,putter
2,green,putter
2,hole,TERMINAL
3,fairway,driver
3,rough,driver
3,near_green,putter
3,green,putter
3,hole,TERMINAL
4,fairway,driver
4,rough,driver
4,near_green,putter
4,green,putter
4,hole,TERMINAL
5,fairway,driver
5,rough,driver
5,near_green,putter
5,green,putter
5,hole,TERMINAL
6,fairway,driver
6,rough,driver
6,near_green,putter
6,green,putter
6,hole,TERMINAL
7,fairway,driver
7,rough,driver
7,near_green,putter
7,green,putter
7,hole,TERMINAL
8,fairway,driver
8,rough,driver
8,near_green,putter
8,green,putter
8,hole,TERMINAL
9,fairway,driver
9,rough,driver
9,near_green,putter
9,green,putter
9,hole,TERMINAL
10,fairway,driver
10,rough,driver
10,near_green,putter
10,green,putter
10,hole,TERMINAL
11,fairway,driver
11,rough,driver
11,near_green,putter
11,green,putter
11,hole,TERMINAL
12,fairway,driver
12,rough,driver
12,near_green,putter
12,green,putter
12,hole,TERMINAL
13,fairway,driver
13,rough,driver
13,near_green,putter
13,green,putter
13,hole,TERMINAL
14,fairway,driver
14,rough,driver
14,near_green,putter
14,green,putter
14,hole,TERMINAL
15,fairway,driver
15,rough,driver
15,near_green,putter
15,green,putter
15,hole,TERMINAL
16,fairway,driver
16,rough,driver
16,near_green,putter
16,green,putter
16,hole,TERMINAL
17,fairway,driver
17,rough,driver
17,near_green,putter
17,green,putter
17,hole,TERMINAL
18,fairway,driver
18,rough,driver
18,near_green,putter
18,green,putter
18,hole,TERMINAL
19,fairway,driver
19,rough,driver
19,near_green,putter
19,green,putter
19,hole,TERMINAL
20,fairway,driver
20,rough,driver
20,near_green,putter
20,green,putter
20,hole,TERMINAL
21,fairway,driver
21,rough,driver
21,near_green,putter
21,green,putter
21,hole,TERMINAL
22,fairway,driver
22,rough,driver
22,near_green,putter
22,green,putter
22,hole,TERMINAL
