iteration,state,action,q_value
0,fairway,driver,-0.9999999999999999
0,fairway,putter,-0.9999999999999999
0,rough,driver,-1.0
0,rough,putter,-0.9999999999999999
0,near_green,driver,-1.0
0,near_green,putter,-0.9999999999999999
0,green,putter,-1.0
1,fairway,driver,-1.9999999999999998
1,fairway,putter,-1.9999999999999998
1,rough,driver,-2.0
1,rough,putter,-1.9999999999999998
1,near_green,driver,-1.7999999999999998
1,near_green,putter,-1.7999999999999998
1,green,putter,-1.2000000000000002
2,fairway,driver,-2.78
2,fairway,putter,-2.86
2,rough,driver,-2.7399999999999998
2,rough,putter,-2.88
2,near_green,driver,-2.24
2,near_green,putter,-2.02
2,green,putter,-1.2400000000000002
3,fairway,driver,-3.0860000000000003
3,fairway,putter,-3.3979999999999997
3,rough,driver,-3.0799999999999996
3,rough,putter,-3.446
3,near_green,driver,-2.4480000000000004
3,near_green,putter,-2.0700000000000003
3,green,putter,-1.2480000000000002
4,fairway,driver,-3.1898
4,fairway,putter,-3.5974000000000004
4,rough,driver,-3.2086000000000006
4,rough,putter,-3.6948
4,near_green,driver,-2.5292000000000003
4,near_green,putter,-2.0806
4,green,putter,-1.2496
5,fairway,driver,-3.2230999999999996
5,fairway,putter,-3.66302
5,rough,driver,-3.2528
5,rough,putter,-3.7871
5,near_green,driver,-2.5576800000000004
5,near_green,putter,-2.0827799999999996
5,green,putter,-1.2499200000000001
6,fairway,driver,-3.2334979999999995
6,fairway,putter,-3.6836859999999993
6,rough,driver,-3.267214
6,rough,putter,-3.818508
6,near_green,driver,-2.5670840000000004
6,near_green,putter,-2.083222
6,green,putter,-1.2499840000000002
7,fairway,driver,-3.2366965999999997
7,fairway,putter,-3.6900637999999994
7,rough,driver,-3.2717720000000003
7,rough,putter,-3.8286926
7,near_green,driver,-2.5700808000000004
7,near_green,putter,-2.083311
7,green,putter,-1.2499968000000001
8,fairway,driver,-3.23767178
8,fairway,putter,-3.69201094
8,rough,driver,-3.2731864600000002
8,rough,putter,-3.83190228
8,near_green,driver,-2.5710153200000003
8,near_green,putter,-2.08332886
8,green,putter,-1.2499993600000001
9,fairway,driver,-3.23796743
9,fairway,putter,-3.6926016619999995
9,rough,driver,-3.27362024
9,rough,putter,-3.83289623
9,near_green,driver,-2.5713028080000004
9,near_green,putter,-2.0833324380000002
9,green,putter,-1.249999872
10,fairway,driver,-3.2380567418
10,fairway,putter,-3.6927801766
10,rough,driver,-3.2737522653999998
10,rough,putter,-3.833200642799999
10,near_green,driver,-2.5713904844
10,near_green,putter,-2.0833331542
10,green,putter,-1.2499999744
11,fairway,driver,-3.2380836584599995
11,fairway,putter,-3.6928339887799995
11,rough,driver,-3.2737922516
11,rough,putter,-3.83329321406
11,near_green,driver,-2.57141707368
11,near_green,putter,-2.0833332975
11,green,putter,-1.24999999488
12,fairway,driver,-3.2380917580579993
12,fairway,putter,-3.692850183813999
12,rough,driver,-3.273804323206
12,rough,putter,-3.8333212351079995
12,near_green,driver,-2.571425107772
12,near_green,putter,-2.083333326166
12,green,putter,-1.249999998976
13,fairway,driver,-3.2380941928549998
13,fairway,putter,-3.6928550525821997
13,rough,driver,-3.27380795984
13,rough,putter,-3.833329691375
13,near_green,driver,-2.5714275294648
13,near_green,putter,-2.0833333318997997
13,green,putter,-1.2499999997952
14,fairway,driver,-3.2380949242773793
14,fairway,putter,-3.6928565152624597
14,rough,driver,-3.2738090538609397
14,rough,putter,-3.83333223824748
14,near_green,driver,-2.57142825826604
14,near_green,putter,-2.08333333304662
14,green,putter,-1.24999999995904
15,fairway,driver,-3.2380951439007255
15,fairway,putter,-3.6928569544763175
15,rough,driver,-3.2738093826734
15,rough,putter,-3.8333330043078857
15,near_green,driver,-2.571428477365128
15,near_green,putter,-2.0833333332759896
15,green,putter,-1.249999999991808
16,fairway,driver,-3.2380952098270535
16,fairway,putter,-3.692857086322413
16,rough,driver,-3.2738094814383762
16,rough,putter,-3.833333234525759
16,near_green,driver,-2.5714285431866015
16,near_green,putter,-2.0833333333218644
16,green,putter,-1.2499999999983618
17,fairway,driver,-3.2380952296128163
17,fairway,putter,-3.692857125892627
17,rough,driver,-3.2738095110921175
17,rough,putter,-3.8333333036710724
17,near_green,driver,-2.571428562951393
17,near_green,putter,-2.0833333333310398
17,green,putter,-1.2499999999996725
18,fairway,driver,-3.238095235550119
18,fairway,putter,-3.692857137766969
18,rough,driver,-3.2738095199930894
18,rough,putter,-3.8333333244306576
18,near_green,driver,-2.5714285688845004
18,near_green,putter,-2.0833333333328747
18,green,putter,-1.2499999999999345
19,fairway,driver,-3.2380952373316236
19,fairway,putter,-3.6928571413299274
19,rough,driver,-3.273809522664351
19,rough,putter,-3.8333333306617305
19,near_green,driver,-2.5714285706651667
19,near_green,putter,-2.0833333333332416
19,green,putter,-1.249999999999987
20,fairway,driver,-3.238095237866138
20,fairway,putter,-3.6928571423989456
20,rough,driver,-3.2738095234659235
20,rough,putter,-3.8333333325316925
20,near_green,driver,-2.5714285711995135
20,near_green,putter,-2.083333333333315
20,green,putter,-1.2499999999999973
21,fairway,driver,-3.2380952380265047
21,fairway,putter,-3.6928571427196766
21,rough,driver,-3.2738095237064337
21,rough,putter,-3.8333333330928085
21,near_green,driver,-2.5714285713598466
21,near_green,putter,-2.0833333333333295
21,green,putter,-1.2499999999999996
22,fairway,driver,-3.2380952380746173
22,fairway,putter,-3.692857142815902
22,rough,driver,-3.2738095237785947
22,rough,putter,-3.8333333332611694
22,near_green,driver,-2.5714285714079526
22,near_green,putter,-2.0833333333333326
22,green,putter,-1.25
