iteration,state,value,delta
0,fairway,-0.9999999999999999,-0.9999999999999999
0,rough,-0.9999999999999999,-0.9999999999999999
0,near_green,-0.9999999999999999,-0.9999999999999999
0,green,-1.0,-1.0
0,hole,0.0,0.0
1,fairway,-1.9999999999999998,-0.9999999999999999
1,rough,-1.9999999999999998,-0.9999999999999999
1,near_green,-1.7999999999999998,-0.7999999999999999
1,green,-1.2000000000000002,-0.20000000000000018
1,hole,0.0,0.0
2,fairway,-2.78,-0.78
2,rough,-2.7399999999999998,-0.74
2,near_green,-2.02,-0.2200000000000002
2,green,-1.2400000000000002,-0.040000000000000036
2,hole,0.0,0.0
3,fairway,-3.0860000000000003,-0.3060000000000005
3,rough,-3.0799999999999996,-0.33999999999999986
3,near_green,-2.0700000000000003,-0.050000000000000266
3,green,-1.2480000000000002,-0.008000000000000007
3,hole,0.0,0.0
4,fairway,-3.1898,-0.10379999999999967
4,rough,-3.2086000000000006,-0.12860000000000094
4,near_green,-2.0806,-0.01059999999999972
4,green,-1.2496,-0.0015999999999998238
4,hole,0.0,0.0
5,fairway,-3.2230999999999996,-0.03329999999999966
5,rough,-3.2528,-0.04419999999999957
5,near_green,-2.0827799999999996,-0.0021799999999996267
5,green,-1.2499200000000001,-0.000320000000000098
5,hole,0.0,0.0
6,fairway,-3.2334979999999995,-0.010397999999999907
6,rough,-3.267214,-0.014413999999999927
6,near_green,-2.083222,-0.00044200000000049755
6,green,-1.2499840000000002,-6.4000000000064e-05
6,hole,0.0,0.0
7,fairway,-3.2366965999999997,-0.0031986000000001624
7,rough,-3.2717720000000003,-0.004558000000000284
7,near_green,-2.083311,-8.900000000000574e-05
7,green,-1.2499968000000001,-1.2799999999923983e-05
7,hole,0.0,0.0
8,fairway,-3.23767178,-0.0009751800000001865
8,rough,-3.2731864600000002,-0.0014144599999998952
8,near_green,-2.08332886,-1.7859999999814136e-05
8,green,-1.2499993600000001,-2.5599999999847967e-06
8,hole,0.0,0.0
9,fairway,-3.23796743,-0.00029564999999998065
9,rough,-3.27362024,-0.0004337799999998282
9,near_green,-2.0833324380000002,-3.5780000002816337e-06
9,green,-1.249999872,-5.119999999525504e-07
9,hole,0.0,0.0
10,fairway,-3.2380567418,-8.931180000004701e-05
10,rough,-3.2737522653999998,-0.0001320253999996801
10,near_green,-2.0833331542,-7.161999997506996e-07
10,green,-1.2499999744,-1.02400000034919e-07
10,hole,0.0,0.0
11,fairway,-3.2380836584599995,-2.6916659999542958e-05
11,rough,-3.2737922516,-3.99862000004525e-05
11,near_green,-2.0833332975,-1.432999998662865e-07
11,green,-1.24999999488,-2.047999991816596e-08
11,hole,0.0,0.0
12,fairway,-3.2380917580579993,-8.09959799985549e-06
12,rough,-3.273804323206,-1.2071605999697255e-05
12,near_green,-2.083333326166,-2.8666000240207268e-08
12,green,-1.249999998976,-4.095999983633192e-09
12,hole,0.0,0.0
13,fairway,-3.2380941928549998,-2.4347970004612307e-06
13,rough,-3.27380795984,-3.6366340001592334e-06
13,near_green,-2.0833333318997997,-5.733799657292593e-09
13,green,-1.2499999997952,-8.192000411355593e-10
13,hole,0.0,0.0
14,fairway,-3.2380949242773793,-7.31422379551816e-07
14,rough,-3.2738090538609397,-1.09402093961819e-06
14,near_green,-2.08333333304662,-1.1468204164089002e-09
14,green,-1.24999999995904,-1.6384005263603285e-10
14,hole,0.0,0.0
15,fairway,-3.2380951439007255,-2.196233461759789e-07
15,rough,-3.2738093826734,-3.2881246037064216e-07
15,near_green,-2.0833333332759896,-2.2936941235229824e-10
15,green,-1.249999999991808,-3.276801052720657e-11
15,hole,0.0,0.0
16,fairway,-3.2380952098270535,-6.592632795232589e-08
16,rough,-3.2738094814383762,-9.876497619742963e-08
16,near_green,-2.0833333333218644,-4.587485946672132e-11
16,green,-1.2499999999983618,-6.553646514362299e-12
16,hole,0.0,0.0
17,fairway,-3.2380952296128163,-1.9785762805923923e-08
17,rough,-3.2738095110921175,-2.9653741240309728e-08
17,near_green,-2.0833333333310398,-9.175327164712144e-12
17,green,-1.2499999999996725,-1.3107293028724598e-12
17,hole,0.0,0.0
18,fairway,-3.238095235550119,-5.937302649527965e-09
18,rough,-3.2738095199930894,-8.900971959491244e-09
18,near_green,-2.0833333333328747,-1.8349766151004587e-12
18,green,-1.2499999999999345,-2.6201263381153694e-13
18,hole,0.0,0.0
19,fairway,-3.2380952373316236,-1.7815047215208324e-09
19,rough,-3.273809522664351,-2.6712614342727647e-09
19,near_green,-2.0833333333332416,-3.668176873361517e-13
19,green,-1.249999999999987,-5.240252676230739e-14
19,hole,0.0,0.0
20,fairway,-3.238095237866138,-5.345142106705225e-10
20,rough,-3.2738095234659235,-8.015725860843759e-10
20,near_green,-2.083333333333315,-7.327471962526033e-14
20,green,-1.2499999999999973,-1.0436096431476471e-14
20,hole,0.0,0.0
21,fairway,-3.2380952380265047,-1.603668309257955e-10
21,rough,-3.2738095237064337,-2.4051027835980676e-10
21,near_green,-2.0833333333333295,-1.4654943925052066e-14
21,green,-1.2499999999999996,-2.220446049250313e-15
21,hole,0.0,0.0
22,fairway,-3.2380952380746173,-4.8112624995155784e-11
22,rough,-3.2738095237785947,-7.216094388695637e-11
22,near_green,-2.0833333333333326,-3.1086244689504383e-15
22,green,-1.25,-4.440892098500626e-16
22,hole,0.0,0.0
